"Entrez.ID"	"logFC"	"P.Value"	"adj.P.Val"
"7153"	11.7304509678547	3.91544353484487e-37	8.23613547554619e-33
"10642"	11.6109972868647	4.23162063164397e-35	4.45060699933154e-31
"4288"	10.7783058418825	1.01511607898421e-33	7.11765557381095e-30
"9787"	10.4456744673924	2.0847866078965e-33	1.09633715742757e-29
"8320"	10.2951989924263	2.9713145743858e-33	1.25003204144411e-29
"6664"	10.0990730066922	1.48292402288695e-32	5.19888447023782e-29
"11065"	10.0863446700209	5.37668297037102e-32	1.61569323259649e-28
"4922"	9.88268048780018	9.53427685332683e-32	2.50691892012162e-28
"3048"	10.8323835281815	2.1034296991473e-31	4.91618263572927e-28
"93377"	-9.72137885085292	2.36688592802516e-31	4.97874454960093e-28
"9212"	9.8593100210512	3.68257278819091e-31	7.04208350905415e-28
"92312"	9.60427892373656	7.94323541994768e-31	1.39238297548833e-27
"58158"	9.55209311609335	1.2491117755758e-30	2.02115893840285e-27
"10644"	9.5393848623119	1.87528094835842e-30	2.70979279893118e-27
"63973"	9.45826472307309	1.93234570876956e-30	2.70979279893118e-27
"4605"	9.67451219061159	2.22783050351917e-30	2.92890091509536e-27
"11013"	9.3667621348038	7.83758416674004e-30	9.69785782043393e-27
"4762"	9.23124635746703	1.26148776930419e-29	1.47418862373965e-26
"374393"	9.28518602881969	1.36252386101193e-29	1.50845733770452e-26
"57549"	9.22187686341818	1.47327606175388e-29	1.54951809794964e-26
"10024"	9.53746404141367	1.7406453970717e-29	1.74354647273349e-26
"8277"	9.075682630089	2.68476746619604e-29	2.5670038023379e-26
"6241"	9.09208360741094	4.77508253615858e-29	4.36712439774329e-26
"9840"	-9.18056818529857	5.35507254369627e-29	4.69349795652713e-26
"100506527"	-9.07331781611146	6.72668953159727e-29	5.65983657188594e-26
"9388"	9.19469875835929	7.88938514634804e-29	6.38281602128581e-26
"157313"	8.94460449850133	3.66576402352341e-28	2.85590171240055e-25
"55355"	8.92143704433667	6.09535346716222e-28	4.57913429220562e-25
"6659"	8.68551752951751	9.36513016319382e-28	6.79294872354421e-25
"10403"	8.7270594380675	2.00557800347625e-27	1.40624444343743e-24
"7781"	-8.52749106109861	2.46093068641091e-27	1.66986054802108e-24
